Entity,Day,Total confirmed deaths due to COVID-19 per million people
Afghanistan,2025-07-13,197.09799
Albania,2025-07-13,1276.0109
Algeria,2025-07-13,151.30612
Andorra,2025-07-13,1995.6072
Angola,2025-07-13,54.356697
Antigua and Barbuda,2025-07-13,1573.208
Argentina,2025-07-13,2880.1396
Armenia,2025-07-13,3049.4695
Australia,2025-07-13,963.17194
Austria,2025-07-13,2485.9253
Azerbaijan,2025-07-13,1005.6088
Bahamas,2025-07-13,2135.892
Bahrain,2025-07-13,1001.69037
Bangladesh,2025-07-13,174.31313
Barbados,2025-07-13,2100.8403
Belarus,2025-07-13,775.9569
Belgium,2025-07-13,2949.6401
Belize,2025-07-13,1708.506
Benin,2025-07-13,11.846396
Bhutan,2025-07-13,26.89315
Bolivia,2025-07-13,1853.839
Bosnia and Herzegovina,2025-07-13,5119.244
Botswana,2025-07-13,1148.0247
Brazil,2025-07-13,3342.5903
Brunei,2025-07-13,399.71362
Bulgaria,2025-07-13,5679.174
Burkina Faso,2025-07-13,17.770674
Burundi,2025-07-13,1.1260369
Cambodia,2025-07-13,177.65726
Cameroon,2025-07-13,71.43704
Canada,2025-07-13,1424.0154
Cape Verde,2025-07-13,802.39526
Central African Republic,2025-07-13,22.165611
Chad,2025-07-13,10.511903
Chile,2025-07-13,3215.5195
China,2025-07-13,85.882515
Colombia,2025-07-13,2759.6409
Comoros,2025-07-13,191.81548
Congo,2025-07-13,64.456726
Costa Rica,2025-07-13,1847.0143
Croatia,2025-07-13,4807.796
Cuba,2025-07-13,771.2636
Cyprus,2025-07-13,1450.5638
Czechia,2025-07-13,4105.2476
Democratic Republic of Congo,2025-07-13,14.394964
Denmark,2025-07-13,1696.131
Djibouti,2025-07-13,166.21931
Dominica,2025-07-13,1107.7678
Dominican Republic,2025-07-13,390.35907
East Timor,2025-07-13,100.7851
Ecuador,2025-07-13,2023.1311
Egypt,2025-07-13,220.47948
El Salvador,2025-07-13,673.538
Equatorial Guinea,2025-07-13,101.46959
Eritrea,2025-07-13,30.210533
Estonia,2025-07-13,2333.2676
Eswatini,2025-07-13,1170.7537
Ethiopia,2025-07-13,60.406315
Fiji,2025-07-13,962.6073
Finland,2025-07-13,2058.8035
France,2025-07-13,2616.193
French Guiana,2025-07-13,1384.6051
Gabon,2025-07-13,126.300964
Gambia,2025-07-13,141.10027
Georgia,2025-07-13,4519.6914
Germany,2025-07-13,2080.9485
Ghana,2025-07-13,44.133926
Greece,2025-07-13,3849.2463
Greenland,2025-07-13,375.2077
Grenada,2025-07-13,2036.3462
Guatemala,2025-07-13,1132.0706
Guinea,2025-07-13,33.29758
Guinea-Bissau,2025-07-13,84.06638
Guyana,2025-07-13,1593.256
Haiti,2025-07-13,74.759514
Honduras,2025-07-13,1062.1354
Hungary,2025-07-13,5072.5615
Iceland,2025-07-13,489.05927
India,2025-07-13,374.49442
Indonesia,2025-07-13,581.2098
Iran,2025-07-13,1640.1935
Iraq,2025-07-13,575.78186
Ireland,2025-07-13,1924.2789
Israel,2025-07-13,1395.899
Italy,2025-07-13,3329.8582
Jamaica,2025-07-13,1277.8706
Japan,2025-07-13,597.5638
Jordan,2025-07-13,1254.5958
Kazakhstan,2025-07-13,951.9546
Kenya,2025-07-13,104.86171
Kiribati,2025-07-13,183.9997
Kosovo,2025-07-13,1869.7246
Kuwait,2025-07-13,559.9779
Kyrgyzstan,2025-07-13,147.21642
Laos,2025-07-13,88.768814
Latvia,2025-07-13,4046.7493
Lebanon,2025-07-13,1905.6685
Lesotho,2025-07-13,310.13965
Liberia,2025-07-13,54.71549
Libya,2025-07-13,891.0876
Liechtenstein,2025-07-13,2265.3804
Lithuania,2025-07-13,3508.8567
Luxembourg,2025-07-13,1530.7677
Madagascar,2025-07-13,46.91625
Malawi,2025-07-13,130.58687
Malaysia,2025-07-13,1076.5391
Maldives,2025-07-13,602.9763
Mali,2025-07-13,32.202717
Malta,2025-07-13,1961.5714
Marshall Islands,2025-07-13,424.38464
Mauritania,2025-07-13,204.48807
Mauritius,2025-07-13,841.6433
Mexico,2025-07-13,2603.2969
Micronesia (country),2025-07-13,553.1714
Moldova,2025-07-13,4040.8613
Monaco,2025-07-13,1722.0552
Mongolia,2025-07-13,630.83826
Montenegro,2025-07-13,4318.235
Morocco,2025-07-13,436.79163
Mozambique,2025-07-13,68.96089
Myanmar,2025-07-13,362.6336
Namibia,2025-07-13,1422.3293
Nauru,2025-07-13,84.86803
Nepal,2025-07-13,404.94177
Netherlands,2025-07-13,1283.8209
New Caledonia,2025-07-13,1093.7146
New Zealand,2025-07-13,884.3108
Nicaragua,2025-07-13,36.400818
Niger,2025-07-13,12.444729
Nigeria,2025-07-13,14.138418
North Korea,2025-07-13,0
North Macedonia,2025-07-13,5429.313
Norway,2025-07-13,1050.4415
Oman,2025-07-13,978.3985
Pakistan,2025-07-13,125.79369
Palau,2025-07-13,563.7614
Palestine,2025-07-13,1075.9194
Panama,2025-07-13,1999.2206
Papua New Guinea,2025-07-13,65.66612
Paraguay,2025-07-13,2940.6548
Peru,2025-07-13,6603.599
Philippines,2025-07-13,586.7101
Poland,2025-07-13,3151.6953
Portugal,2025-07-13,2809.438
Puerto Rico,2025-07-13,1832.1941
Qatar,2025-07-13,238.55464
Romania,2025-07-13,3598.1628
Russia,2025-07-13,2777.1016
Rwanda,2025-07-13,107.53813
Saint Kitts and Nevis,2025-07-13,985.11615
Saint Lucia,2025-07-13,2293.7449
Saint Vincent and the Grenadines,2025-07-13,1215.5432
Samoa,2025-07-13,144.03598
San Marino,2025-07-13,3698.7026
Sao Tome and Principe,2025-07-13,353.56772
Saudi Arabia,2025-07-13,299.79517
Senegal,2025-07-13,111.72143
Serbia,2025-07-13,2658.893
Seychelles,2025-07-13,1370.7363
Sierra Leone,2025-07-13,15.10253
Singapore,2025-07-13,358.2407
Slovakia,2025-07-13,3888.4407
Slovenia,2025-07-13,4687.0625
Solomon Islands,2025-07-13,254.79306
Somalia,2025-07-13,76.452736
South Africa,2025-07-13,1644.7206
South Korea,2025-07-13,693.94135
South Sudan,2025-07-13,13.338012
Spain,2025-07-13,2547.6946
Sri Lanka,2025-07-13,740.4013
Sudan,2025-07-13,102.1803
Suriname,2025-07-13,2256.3582
Sweden,2025-07-13,2747.898
Switzerland,2025-07-13,1611.669
Syria,2025-07-13,140.81487
Tajikistan,2025-07-13,12.276343
Tanzania,2025-07-13,13.073355
Thailand,2025-07-13,487.61227
Togo,2025-07-13,31.904268
Tonga,2025-07-13,123.79537
Trinidad and Tobago,2025-07-13,2934.751
Tunisia,2025-07-13,2427.7837
Turkey,2025-07-13,1164.9534
Turkmenistan,2025-07-13,0
Tuvalu,2025-07-13,100.32103
Uganda,2025-07-13,76.765915
Ukraine,2025-07-13,2677.9155
United Arab Emirates,2025-07-13,229.349
United Kingdom,2025-07-13,3404.4368
United States,2025-07-13,3588.3047
Uruguay,2025-07-13,2269.3337
Uzbekistan,2025-07-13,29.079327
Vanuatu,2025-07-13,44.726433
Venezuela,2025-07-13,207.56418
Vietnam,2025-07-13,433.4444
Yemen,2025-07-13,56.484562
Zambia,2025-07-13,202.35312
Zimbabwe,2025-07-13,357.20932